"Time (s)","Voltage (V)"
-9.875e-06,-0.000662
-9.871e-06,-0.000662
-9.866999999999999e-06,-0.000662
-9.863e-06,-0.000662
-9.859e-06,-0.000662
-9.855e-06,-0.000662
-9.851e-06,-0.000662
-9.846999999999999e-06,-0.000662
-9.842999999999999e-06,-0.000662
-9.839e-06,-0.000662
-9.835e-06,-0.000662
-9.831e-06,-0.000662
-9.827e-06,-0.000662
-9.822999999999999e-06,-0.000662
-9.818999999999999e-06,-0.000662
-9.815e-06,-0.000662
-9.811e-06,-0.000662
-9.807e-06,-0.000662
-9.802999999999999e-06,-0.000662
-9.798999999999999e-06,-0.000662
-9.795e-06,-0.000662
-9.791e-06,-0.000662
-9.787e-06,-0.000662
-9.783e-06,-0.000662
-9.778999999999999e-06,-0.000662
-9.774999999999999e-06,-0.000662
-9.771e-06,-0.000662
-9.767e-06,-0.000662
-9.763e-06,-0.000662
-9.759e-06,-0.000662
-9.754999999999999e-06,-0.000662
-9.750999999999999e-06,-0.000662
-9.747e-06,-0.000662
-9.743e-06,-0.000662
-9.739e-06,-0.000662
-9.734999999999999e-06,-0.000662
-9.730999999999999e-06,-0.000662
-9.727e-06,-0.000662
-9.723e-06,-0.000662
-9.719e-06,-0.000662
-9.715e-06,-0.000662
-9.710999999999999e-06,-0.000662
-9.706999999999999e-06,-0.000662
-9.703e-06,-0.000662
-9.699e-06,-0.000662
-9.695e-06,-0.000662
-9.691e-06,-0.000662
-9.686999999999999e-06,-0.000662
-9.682999999999999e-06,-0.000662
-9.679e-06,-0.000662
-9.675e-06,-0.000662
-9.671e-06,-0.000662
-9.666999999999999e-06,-0.000662
-9.662999999999999e-06,-0.000662
-9.659e-06,-0.000662
-9.655e-06,-0.000662
-9.651e-06,-0.000662
-9.647e-06,-0.000662
-9.642999999999999e-06,-0.000662
-9.638999999999999e-06,-0.000662
-9.635e-06,-0.000662
-9.631e-06,-0.000662
-9.627e-06,-0.000662
-9.623e-06,-0.000662
-9.618999999999999e-06,-0.000662
-9.615e-06,-0.000662
-9.611e-06,-0.000729
-9.607e-06,-0.000662
-9.603e-06,-0.000662
-9.598999999999999e-06,-0.000662
-9.594999999999999e-06,-0.000662
-9.591e-06,-0.000662
-9.587e-06,-0.000662
-9.583e-06,-0.000662
-9.579e-06,-0.000662
-9.574999999999999e-06,-0.000662
-9.570999999999999e-06,-0.000662
-9.567e-06,-0.000662
-9.563e-06,-0.000662
-9.559e-06,-0.000662
-9.554999999999999e-06,-0.000662
-9.550999999999999e-06,-0.000662
-9.547e-06,-0.000662
-9.543e-06,-0.000662
-9.539e-06,-0.000662
-9.535e-06,-0.000662
